image_name,fft_score,is_fft_blurry,fft_kept,exposure_mean,exposure_score,contrast_score,entropy_score,contrast_norm,entropy_norm,raw_score,accepted
0041,0.404359,True,True,0.5867477956876076,0.8265044086247848,0.8800990201570985,7.401817798614502,0.3867909908294678,0.1268666535615921,0.42977601060316895,False
0042,0.339715,True,False,0.5856494874194806,0.8287010251610387,0.8904639995474757,7.468714714050293,0.41147440671920776,0.2888450026512146,0.44169008690629225,False
0043,0.339087,True,True,0.5912217220468713,0.8175565559062574,0.9094810212301178,7.502028942108154,0.45676189661026,0.36950913071632385,0.46440031664656833,True
0044,0.301053,True,False,0.582191820532556,0.835616358934888,0.9436830653749814,7.552396297454834,0.5382111668586731,0.4914642572402954,0.49347955660677134,True
0045,0.292788,True,False,0.5588987748013506,0.8822024503972987,0.9326594652415364,7.611178398132324,0.5119593143463135,0.6337940692901611,0.5227063668067546,True
0046,0.363519,True,True,0.5467677818826898,0.9064644362346204,0.9424657650526964,7.614367961883545,0.535312294960022,0.6415170431137085,0.5620663548616702,True
0047,0.291821,True,False,0.4959987686239768,0.9919975372479536,1.0688903895071036,7.676189422607422,0.836381733417511,0.7912060618400574,0.6406454665011044,True
0048,0.486251,False,True,0.4391930822587094,0.8783861645174188,1.0937041634722207,7.695097923278809,0.8954736590385437,0.8369894623756409,0.7166702571863207,True
0049,0.492211,False,True,0.43365910831317395,0.8673182166263479,1.0546263058983123,7.714029788970947,0.802413284778595,0.8828294277191162,0.7073965858248119,True
0050,0.355137,True,False,0.4373129492685374,0.8746258985370748,1.0235159097384112,7.735573768615723,0.7283264398574829,0.9349941611289978,0.6496440999047112,True
0051,0.464394,False,True,0.44460559908180614,0.8892111981636123,1.0201779305382548,7.748766899108887,0.7203773260116577,0.966938853263855,0.701063075487825,True
0052,0.399535,True,True,0.449620288642425,0.89924057728485,1.0395066009972345,7.739773750305176,0.766406774520874,0.9451636075973511,0.6819761918806151,True
0053,0.308264,True,False,0.4457690957212855,0.891538191442571,1.080647604577895,7.708215236663818,0.8643806576728821,0.8687505722045898,0.6482394842640087,True
0054,0.307993,True,False,0.4506340791170318,0.9012681582340636,1.1375965848693752,7.65894079208374,1.0,0.7494417428970337,0.6533391802262194,True
0055,0.329378,True,True,0.45767179125199947,0.9153435825039989,1.0764815863384392,7.720483303070068,0.8544597029685974,0.8984554409980774,0.6654029452941348,True
0056,0.348865,True,False,0.4662295711175279,0.9324591422350558,1.0593506904856997,7.708351135253906,0.8136640191078186,0.8690796494483948,0.6625865621582538,True
0057,0.349335,True,True,0.4775770890868056,0.9551541781736111,1.0375118624212163,7.721435546875,0.7616564631462097,0.900761067867279,0.66324834183742,True
0058,0.248644,True,True,0.4849936947848425,0.969987389569685,1.0229159904695941,7.720822334289551,0.726897656917572,0.8992763161659241,0.6186898725306362,True
0059,0.161997,True,False,0.4897193525409646,0.9794387050819292,1.0315010367519926,7.715214252471924,0.7473423480987549,0.8856974244117737,0.5872944955184916,True
0060,0.319023,True,False,0.4834373820699823,0.9668747641399646,1.040784956841495,7.744890213012695,0.7694511413574219,0.9575521945953369,0.6663848200185447,True
0061,0.43584,False,True,0.48582615640583415,0.9716523128116683,1.0163174268526525,7.762421131134033,0.7111836671829224,1.0,0.7109031959989183,True
0062,0.304863,True,False,0.4854323624902448,0.9708647249804896,0.9904897038729864,7.759243011474609,0.6496772766113281,0.992304801940918,0.6445145607065472,True
0063,0.472142,False,True,0.48159560588667616,0.9631912117733523,0.9734310411167333,7.740368843078613,0.6090534925460815,0.9466044902801514,0.692626638919917,True
0064,0.452563,False,True,0.4874174117818815,0.974834823563763,0.9794789301639742,7.7129974365234375,0.6234560608863831,0.8803297877311707,0.6767493344362634,True
0065,0.497485,False,True,0.4902133628793315,0.980426725758663,0.9897395979950788,7.691978931427002,0.6478909254074097,0.8294374346733093,0.6905450171678764,True
0066,0.457528,False,True,0.4996620625226345,0.999324125045269,0.9907183657261104,7.667274475097656,0.6502217650413513,0.7696202397346497,0.6668444259642541,True
0067,0.464811,False,True,0.5085979884206934,0.9828040231586133,0.9788908138837108,7.655848979949951,0.6220554709434509,0.7419555187225342,0.6552874025649197,True
0068,0.551316,False,True,0.5184922391984521,0.9630155216030958,0.9508607795658912,7.6388044357299805,0.5553042888641357,0.7006853818893433,0.6643274384713149,True
0069,0.52471,False,True,0.5302584494128226,0.9394831011743547,0.9242023373581347,7.668384552001953,0.4918193817138672,0.7723080515861511,0.6506061068948746,True
0070,0.380733,True,False,0.525710435067653,0.948579129864694,0.908076170985121,7.66623592376709,0.45341628789901733,0.7671055793762207,0.5861133994279863,True
0071,0.458565,False,True,0.5293078525936138,0.9413842948127724,0.870283159715358,7.604928016662598,0.3634154498577118,0.6186599731445312,0.5681179435630032,True
0072,0.666784,False,True,0.5622922984934332,0.8754154030131336,0.8091353871478233,7.533977031707764,0.21779707074165344,0.446865439414978,0.5747291826339531,True
0073,0.577709,False,True,0.5632263871839305,0.873547225632139,0.7950325504860986,7.52663516998291,0.18421238660812378,0.4290885031223297,0.5284532230725186,True
0074,0.59978,False,True,0.5337864788315648,0.9324270423368703,0.875484475797242,7.654273509979248,0.37580186128616333,0.7381408214569092,0.6491859450159886,True
0075,0.507895,False,True,0.5560840949410627,0.8878318101178746,0.9190105008854302,7.686608791351318,0.47945553064346313,0.8164346218109131,0.6399023925144502,True
0076,0.718634,False,True,0.5673585681491681,0.8652828637016639,0.9135813698253175,7.662174701690674,0.46652647852897644,0.7572720646858215,0.7052698813832924,True
0077,0.592683,False,True,0.5650741475151002,0.8698517049697996,0.8803529306114883,7.655389308929443,0.3873956799507141,0.7408425211906433,0.6366911812222313,True
0078,0.64668,False,True,0.5631608699381765,0.873678260123647,0.8570467389135576,7.648810386657715,0.3318939208984375,0.7249128818511963,0.6447690125746561,True
0079,0.612892,False,True,0.5552776792943702,0.8894446414112596,0.9212159934290757,7.693033695220947,0.48470771312713623,0.8319913148880005,0.6863855338852792,True
0080,0.692953,False,True,0.5463105962063508,0.9073788075872984,0.9172134902421893,7.686944961547852,0.475176066160202,0.8172485828399658,0.7171418913174934,True
0081,0.636915,False,True,0.541844010967815,0.91631197806437,0.9028790469635005,7.673667907714844,0.4410398006439209,0.7851006984710693,0.6832564954358721,True
0082,0.488869,False,True,0.5391476263514469,0.9217047472971063,0.899417224620061,7.668350696563721,0.4327957332134247,0.772226095199585,0.6208929151420233,True
0083,0.41912,False,True,0.5344445340635321,0.9311109318729358,0.891866328759948,7.665119647979736,0.41481390595436096,0.7644026875495911,0.5897135050753777,True
0084,0.26615,True,True,0.5297201566730323,0.9405596866539354,0.87945486807817,7.650390148162842,0.3852570056915283,0.728738009929657,0.5173709404550242,True
0085,0.238754,True,False,0.5280077769525015,0.9439844460949971,0.8817316143602647,7.645257949829102,0.3906789720058441,0.7163113355636597,0.5056965507329002,True
0086,0.173148,True,False,0.5255219124524633,0.9489561750950735,0.8731039821869951,7.6293745040893555,0.3701329231262207,0.6778525710105896,0.4686475338463768,True
0087,0.336895,True,True,0.5270310853645719,0.9459378292708562,0.8774134141488826,7.6281280517578125,0.38039544224739075,0.6748344898223877,0.534991552268127,True
0088,0.324883,True,True,0.5267628180261817,0.9464743639476365,0.8788846476885971,7.631938934326172,0.38389918208122253,0.6840618252754211,0.532840274260856,True
0089,0.230518,True,False,0.5325378749619525,0.934924250076095,0.8792907765442519,7.631241321563721,0.38486623764038086,0.6823726892471313,0.4926398353927215,True
0090,0.219638,True,True,0.5353985835760123,0.9292028328479753,0.8795525289453171,7.630319118499756,0.38548967242240906,0.6801397204399109,0.4868216451420591,True
0091,0.181943,True,False,0.537408364808175,0.92518327038365,0.8774706940003376,7.628918647766113,0.38053184747695923,0.6767487525939941,0.4692699740909207,True
0092,0.0,True,False,0.5403935870272418,0.9192128259455163,0.8798714165246402,7.641094207763672,0.3862490653991699,0.7062296271324158,0.40233830369542045,False
0093,0.162357,True,True,0.5354950472198255,0.9290099055603489,0.8879084641289597,7.658677577972412,0.40538856387138367,0.7488044500350952,0.48158338389336564,True
0094,0.173896,True,True,0.5329584199312329,0.9340831601375341,0.8933239595631055,7.663160800933838,0.4182851314544678,0.7596597075462341,0.4919639998276472,True
0095,0.14596,True,False,0.5298170414127039,0.9403659171745922,0.8857378927215983,7.635875701904297,0.40021955966949463,0.6935939788818359,0.4652198911451846,True
0096,0.412007,True,True,0.5256030097570301,0.9487939804859398,0.9125246674310172,7.649430274963379,0.46400994062423706,0.7264138460159302,0.5926463534252214,True
0097,0.217707,True,False,0.5267652631146474,0.9464694737707051,0.9277010895091804,7.655709266662598,0.5001514554023743,0.7416172027587891,0.5247304263863737,True
0098,0.287202,True,True,0.5331635350894836,0.9336729298210329,0.9309887995004715,7.636443614959717,0.5079807639122009,0.6949690580368042,0.5422053503540076,True
0099,0.146654,True,False,0.5337428624739962,0.9325142750520077,0.9321512922632453,7.630298137664795,0.5107492208480835,0.6800889372825623,0.4833320866365307,True
0100,0.308684,True,False,0.5385221906782551,0.9229556186434897,0.9367736853478513,7.628653526306152,0.5217569470405579,0.6761068105697632,0.5476374752507622,True
0101,0.446107,False,True,0.5485671566895249,0.9028656866209501,0.9335804915949957,7.618904113769531,0.5141527652740479,0.6525004506111145,0.5923465805012225,True
0102,0.553719,False,True,0.557603836236943,0.884792327526114,0.9156386255076857,7.623994827270508,0.4714256525039673,0.6648266911506653,0.6256965342361493,True
0103,0.469925,False,True,0.5532545806007237,0.8934908387985525,0.9175422296924627,7.6428351402282715,0.4759588837623596,0.7104449272155762,0.6039489299552977,True
0104,0.366988,True,False,0.5475083153013548,0.9049833693972904,0.9345465432064491,7.660686492919922,0.516453206539154,0.7536686658859253,0.581816248364474,True
0105,0.875567,False,True,0.5500209933119438,0.8999580133761125,0.9642296723590825,7.664773941040039,0.5871410965919495,0.7635656595230103,0.8003597538982146,True
0106,0.962526,False,True,0.5555927238929596,0.8888145522140809,0.9573652207141985,7.666072845458984,0.5707940459251404,0.7667106986045837,0.8302742593487611,True
0107,0.761356,False,True,0.5583187633190473,0.8833624733619054,0.9227800225096708,7.6621294021606445,0.4884323179721832,0.7571623921394348,0.7303338366947048,True
0108,0.808453,False,True,0.5543422536367214,0.8913154927265572,0.9306004251094718,7.671552658081055,0.5070558786392212,0.7799790501594543,0.7590512843050466,True
0109,0.735595,False,True,0.562837045759311,0.8743259084813779,0.9261570461151364,7.625617980957031,0.49647441506385803,0.6687568426132202,0.7021494332316912,True
0110,0.707531,False,True,0.5639808958128824,0.8720382083742353,0.9489751844617992,7.582156658172607,0.5508139133453369,0.5635234117507935,0.6802875066940732,True
0111,0.84849,False,True,0.5710467081672981,0.8579065836654038,0.9382363718338459,7.59650182723999,0.5252402424812317,0.5982575416564941,0.735676873560626,True
0112,0.918666,False,True,0.5638542347653813,0.8722915304692374,0.9383803663885399,7.663293838500977,0.5255832076072693,0.7599818706512451,0.7990377217455503,True
0113,0.943963,False,True,0.5513030106255707,0.8973939787488585,0.938667008450974,7.703280448913574,0.5262657999992371,0.8568019270896912,0.8336775411675574,True
0114,0.975916,False,True,0.5453679333600923,0.9092641332798155,0.9478637733647395,7.712146759033203,0.5481671094894409,0.8782700300216675,0.8575066545581849,True
0115,0.928364,False,True,0.5590456630883766,0.8819086738232469,0.9297751103258846,7.650932312011719,0.5050905346870422,0.7300507426261902,0.7947555902272959,True
0116,0.931778,False,True,0.5564561021474133,0.8870877957051735,0.935642793404395,7.641924858093262,0.5190638303756714,0.7082408666610718,0.7955896985483835,True
0117,0.89008,False,True,0.5737145568300333,0.8525708863399335,0.9036648110703648,7.593549728393555,0.4429110586643219,0.591109573841095,0.7333503037690701,True
0118,0.797911,False,True,0.573761215519788,0.852477568960424,0.8905779850291966,7.5930938720703125,0.4117457866668701,0.5900058150291443,0.6900102341312877,True
0119,0.927879,False,True,0.5704644101783992,0.8590711796432016,0.8742814904193696,7.569571018218994,0.37293702363967896,0.5330496430397034,0.7241631692645168,True
0120,0.893888,False,True,0.5630675769558781,0.8738648460882439,0.8728751609906975,7.579424858093262,0.3695880174636841,0.5569088459014893,0.7176275418906835,True
0121,0.653282,False,True,0.5777866557601375,0.8444266884797249,0.8314827225049477,7.5261549949646,0.27101537585258484,0.42792585492134094,0.5699863838507302,True
0122,0.761053,False,True,0.5803927794795645,0.8392144410408711,0.8181290528608578,7.503392219543457,0.23921477794647217,0.3728100657463074,0.5946690569467301,True
0123,0.833167,False,True,0.582654085220238,0.834691829559524,0.8333296594248096,7.532155990600586,0.27541378140449524,0.4424561560153961,0.6437791533958832,True
0124,0.787495,False,True,0.5966292945312286,0.8067414109375428,0.7867711596580681,7.466197490692139,0.16453860700130463,0.2827500104904175,0.565804005685853,True
0125,0.785864,False,True,0.593818137140235,0.81236372571953,0.7980382212524231,7.466573238372803,0.1913701742887497,0.28365981578826904,0.5718243431593097,True
0126,0.656615,False,True,0.5912237811714623,0.8175524376570753,0.8197292193997177,7.477903366088867,0.24302539229393005,0.31109359860420227,0.5369802857110415,True
0127,0.553974,False,True,0.5941152824811533,0.8117694350376934,0.8328297291783109,7.460592269897461,0.2742231488227844,0.26917800307273865,0.4926237173866433,True
0128,0.631022,False,True,0.5857605693840573,0.8284788612318854,0.8656664111785126,7.464810371398926,0.35242095589637756,0.279391348361969,0.5444670330980464,True
0129,0.686278,False,True,0.5935538929019047,0.8128922141961905,0.837673135863575,7.431897163391113,0.2857573330402374,0.19969819486141205,0.534180748419568,True
0130,0.681479,False,True,0.5912805720228597,0.8174388559542807,0.8408667046845578,7.429466724395752,0.2933625280857086,0.19381333887577057,0.533514544583152,True
0131,0.409371,True,False,0.5874122742172325,0.825175451565535,0.857995564057168,7.402850151062012,0.33415353298187256,0.12936630845069885,0.42148745859962133,False
0132,0.541061,False,True,0.5847062663650391,0.8305874672699218,0.876496897172841,7.418545246124268,0.37821292877197266,0.1673690378665924,0.4916582867816974,True
0133,0.52896,False,True,0.5949255299537731,0.8101489400924538,0.8739599271208538,7.349421977996826,0.3721712529659271,0.0,0.4480480386116762,False
0134,0.411541,True,False,0.591501671745678,0.816996656508644,0.883650549547094,7.383079528808594,0.3952487111091614,0.08149544894695282,0.4233645633129516,False
0135,0.502552,False,True,0.6004010896575052,0.7991978206849897,0.862410275817177,7.395546913146973,0.3446667194366455,0.11168288439512253,0.45213028490335155,True
0136,0.714629,False,True,0.5984229247708102,0.8031541504583797,0.8506281295657643,7.380722999572754,0.31660860776901245,0.07578955590724945,0.5249620628269284,True
0137,0.636398,False,True,0.5972127040570513,0.8055745918858974,0.8301520907299659,7.3569722175598145,0.26784661412239075,0.018281489610671997,0.47289973912379213,True
0138,0.474127,False,True,0.5993685811548332,0.8012628376903337,0.8092184880531029,7.3577752113342285,0.21799494326114655,0.02022578753530979,0.397547513697358,False
0139,0.419813,False,True,0.593053522210684,0.8138929555786321,0.8167524859861556,7.401490211486816,0.23593659698963165,0.1260734647512436,0.40310580346390146,False
0140,0.535036,False,True,0.5927305451029772,0.8145389097940456,0.8072589382867758,7.436957836151123,0.213328555226326,0.21195165812969208,0.4619782246300127,True
0141,0.593636,False,True,0.5935377131596506,0.8129245736806987,0.8033936427269105,7.435181617736816,0.20412366092205048,0.20765088498592377,0.4823942239177347,True
0142,0.735923,False,True,0.5949650929587406,0.8100698140825189,0.8132024095410607,7.423701286315918,0.22748230397701263,0.1798534095287323,0.5378503055176528,True
0143,0.658231,False,True,0.5796612696132838,0.8406774607734324,0.8403654275473484,7.464364528656006,0.2921687662601471,0.2783118188381195,0.5455240091743399,True
0144,0.60685,False,True,0.5794544622644925,0.841091075471015,0.8100952689242713,7.43727445602417,0.22008292376995087,0.21271830797195435,0.4975184614425841,True
0145,0.567069,False,True,0.5745661448883989,0.8508677102232023,0.8070038462108348,7.452397346496582,0.21272103488445282,0.24933554232120514,0.4894124574857721,True
0146,0.615686,False,True,0.5706584616894991,0.8586830766210019,0.8007919996920319,7.461809158325195,0.19792796671390533,0.2721244692802429,0.51202150252303,True
0147,0.617295,False,True,0.5817368047441449,0.8365263905117102,0.7822037942314058,7.463535308837891,0.15366175770759583,0.2763040363788605,0.5002164369196334,True
0148,0.782393,False,True,0.5834894852412977,0.8330210295174045,0.7870492747441817,7.432626247406006,0.16520090401172638,0.20146353542804718,0.5528942937914356,True
0149,0.698067,False,True,0.5759532253746996,0.8480935492506008,0.8178880422278234,7.477086067199707,0.23864075541496277,0.3091146647930145,0.5583965938917156,True
0150,0.497851,False,True,0.5827103246946713,0.8345793506106574,0.8126258082703299,7.447406768798828,0.22610928118228912,0.23725180327892303,0.4587284870143739,True
0151,0.651741,False,True,0.5759423417789645,0.8481153164420709,0.8060117031403041,7.467697620391846,0.21035824716091156,0.2863822877407074,0.529667570268738,True
0152,0.542502,False,True,0.5757031373739603,0.8485937252520794,0.8250759144269395,7.486966609954834,0.255758136510849,0.3330385386943817,0.5044788800914621,True
0153,0.356229,True,False,0.5787197968629676,0.8425604062740648,0.8516605904755348,7.498640060424805,0.3190673589706421,0.3613035976886749,0.4470778725866765,False
0154,0.745704,False,True,0.5770120126010618,0.8459759747978763,0.861368408538558,7.512197494506836,0.3421856760978699,0.3941303789615631,0.6147400059714618,True
