image_name,weight,quality_score,raw_score,mask_score,geo_score
0049,0.900827,0.752067,0.707397,0.869519,0.565971
0050,0.896198,0.740495,0.649644,0.872750,0.601909
0051,0.907793,0.769482,0.701063,0.876641,0.648109
0052,0.892418,0.731044,0.681976,0.882861,0.475326
0053,0.893636,0.734089,0.648239,0.889426,0.534818
0054,0.891341,0.728352,0.653339,0.895528,0.483477
0055,0.898199,0.745496,0.665403,0.884911,0.571976
0056,0.888423,0.721057,0.662587,0.877640,0.471067
0057,0.891389,0.728474,0.663248,0.881431,0.498463
0058,0.885421,0.713553,0.618690,0.871154,0.524959
0059,0.877229,0.693071,0.587294,0.861784,0.498577
0060,0.880713,0.701783,0.666385,0.846810,0.437420
0061,0.890727,0.726817,0.710903,0.855243,0.465711
0062,0.893031,0.732578,0.644515,0.855528,0.610053
0063,0.886368,0.715921,0.692627,0.826644,0.507559
0064,0.884626,0.711565,0.676749,0.838312,0.487312
0065,0.883802,0.709504,0.690545,0.835707,0.458727
0066,0.885989,0.714972,0.666844,0.829787,0.540861
0067,0.875391,0.688477,0.655287,0.821885,0.446393
0068,0.886518,0.716295,0.664327,0.817407,0.579734
0069,0.882414,0.706035,0.650606,0.822815,0.540284
0070,0.866176,0.665441,0.586113,0.838540,0.414791
0071,0.869250,0.673126,0.568118,0.806680,0.556392
0072,0.862663,0.656656,0.574729,0.734145,0.625680
0073,0.856899,0.642246,0.528453,0.779590,0.532362
0074,0.873198,0.682994,0.649186,0.797587,0.484325
0075,0.881358,0.703395,0.639902,0.872659,0.433661
0076,0.877969,0.694921,0.705270,0.774312,0.498182
0077,0.896456,0.741140,0.636691,0.918040,0.525901
0078,0.894862,0.737155,0.644769,0.920486,0.486335
0079,0.901530,0.753826,0.686386,0.895667,0.552704
0080,0.911084,0.777709,0.717142,0.909562,0.587034
0081,0.906883,0.767208,0.683256,0.925889,0.557092
0082,0.903106,0.757764,0.620893,0.938944,0.589635
0083,0.902051,0.755128,0.589714,0.953934,0.597290
0084,0.892106,0.730266,0.517371,0.966674,0.570911
0085,0.891542,0.728854,0.505697,0.979705,0.554964
0086,0.887651,0.719128,0.468648,0.967461,0.598720
0087,0.900006,0.750015,0.534992,0.985347,0.596808
0088,0.897134,0.742836,0.532840,0.974263,0.589618
0089,0.894586,0.736465,0.492640,0.980215,0.614724
0090,0.893076,0.732691,0.486822,0.982944,0.599893
0091,0.892592,0.731480,0.469270,0.978694,0.634118
0092,0.896327,0.740818,0.402338,1.000000,0.750000
0093,0.891980,0.729950,0.481583,0.982633,0.596056
0094,0.891289,0.728223,0.491964,0.978363,0.578864
0095,0.882208,0.705520,0.465220,0.940007,0.598448
0096,0.894270,0.735676,0.592646,0.936330,0.534505
0097,0.885756,0.714390,0.524730,0.935278,0.549296
0098,0.888645,0.721613,0.542205,0.936051,0.553092
0099,0.881117,0.702793,0.483332,0.931846,0.571479
0100,0.887737,0.719342,0.547637,0.935209,0.534124
0101,0.893640,0.734100,0.592347,0.938663,0.521900
0102,0.899555,0.748886,0.625697,0.947412,0.517786
0103,0.895602,0.739006,0.603949,0.936521,0.530948
0104,0.891548,0.728871,0.581816,0.929608,0.534556
0105,0.920178,0.800445,0.800360,0.934658,0.498616
0106,0.927436,0.818589,0.830274,0.938821,0.527619
0107,0.920637,0.801592,0.730334,0.966019,0.556336
0108,0.923469,0.808672,0.759051,0.966153,0.541174
0109,0.909456,0.773641,0.702149,0.934200,0.537492
0110,0.913062,0.782655,0.680288,0.953160,0.578161
0111,0.913369,0.783422,0.735677,0.961341,0.466659
0112,0.927562,0.818906,0.799038,0.977257,0.497383
0113,0.934784,0.836960,0.833678,0.973567,0.535339
0114,0.941009,0.852522,0.857507,0.964833,0.591098
0115,0.926674,0.816684,0.794756,0.971985,0.505631
0116,0.934502,0.836256,0.795590,0.969067,0.608596
0117,0.935276,0.838190,0.733350,0.972216,0.720100
0118,0.911815,0.779537,0.690010,0.982678,0.479141
0119,0.920032,0.800080,0.724163,0.958863,0.575673
0120,0.919197,0.797993,0.717628,0.958634,0.577191
0121,0.895249,0.738122,0.569986,0.965101,0.521658
0122,0.895193,0.737983,0.594669,0.965760,0.476284
