method,frame,mask_path,gt_path,precision,recall,f1,miou,iou_fg,hd95_px,boundary_f1,area_ratio,component_count,temporal_iou,outside_nonblack_ratio,leakage_energy
SAM3_P2,KongQueZhuYu_0025,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM3_P2/mask_KongQueZhuYu_0025.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0025.png,0.9375929788683491,0.9818809243964477,0.9592260246237624,0.9386173051469358,0.9216468198842158,163.96652221679688,0.36821448211326746,0.3659862075617284,1,0.39331968863239836,0.035110450254064035,0.02284010898919753
SAM3_P2,KongQueZhuYu_0050,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM3_P2/mask_KongQueZhuYu_0050.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0050.png,0.9950029742314279,0.9611285944721508,0.9777724826070513,0.9715771330632752,0.9565116042862222,51.53911209106445,0.3597706956786603,0.22821735146604938,1,0.5698032077283607,0.0014931901908186247,0.0011404079861111111
SAM3_P2,KongQueZhuYu_0075,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM3_P2/mask_KongQueZhuYu_0075.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0075.png,0.9958641395850527,0.9497135387319976,0.9722414752617157,0.9632693536964446,0.9459823994252874,290.3199462890625,0.2892765636357258,0.2550687210648148,1,0.30742852073422194,0.0014401040166558317,0.0010549286265432098
SAM3_P2,KongQueZhuYu_0100,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM3_P2/mask_KongQueZhuYu_0100.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0100.png,0.9979848778002796,0.9682476495859157,0.9828913913218098,0.9761494804712809,0.9663583445617983,50.249820709228516,0.3849119595815051,0.2882573784722222,1,0.3364451863597636,0.0008264084320418,0.0005808738425925926
SAM3_P2,XianKeLai1_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/SAM3_P2/mask_XianKeLai1_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_XianKeLai1_0000.png,0.9964205518130683,0.9321183183735824,0.9631974377150962,0.9562122068874244,0.929007578446183,180.7741241455078,0.44297927784523045,0.1789529079861111,1,0.3819694843507891,0.0007920750158996424,0.000640552662037037
UNet_fewshot_seqcv,KongQueZhuYu_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/UNet_fewshot_seqcv/mask_KongQueZhuYu_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0000.png,0.6302929095341194,0.7106735227936857,0.668074116714348,0.6509877656460699,0.5015850544673809,473.27606201171875,0.07414952682281431,0.26539520640432096,8,,0.1283228239050167,0.09811848958333333
UNet_fewshot_seqcv,KongQueZhuYu_0025,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/UNet_fewshot_seqcv/mask_KongQueZhuYu_0025.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0025.png,0.942404227466338,0.6772519390501923,0.7881241755074218,0.741807879956708,0.6503341015465965,471.9898986816406,0.18406320836963153,0.2511500530478395,4,0.2937570452657475,0.022236278716686122,0.014465181327160494
UNet_fewshot_seqcv,KongQueZhuYu_0050,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/UNet_fewshot_seqcv/mask_KongQueZhuYu_0050.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0050.png,0.8437065377424334,0.6760911820073167,0.7506558839468562,0.7372751051974308,0.6008399721913968,548.7656860351562,0.10002017519753478,0.18932388117283952,6,0.35732049474008015,0.038743699641927976,0.02959008487654321
UNet_fewshot_seqcv,KongQueZhuYu_0075,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/UNet_fewshot_seqcv/mask_KongQueZhuYu_0075.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0075.png,0.6898503407685407,0.6956649913227704,0.692745464751204,0.6635708899024599,0.5299239330000574,625.7719116210938,0.07921777017873449,0.26971800250771605,4,0.18605674790153132,0.1141962985212189,0.08365294656635802
UNet_fewshot_seqcv,KongQueZhuYu_0100,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/UNet_fewshot_seqcv/mask_KongQueZhuYu_0100.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_KongQueZhuYu_0100.png,0.7819556151615926,0.9766660863926556,0.8685319073654977,0.8219276979407271,0.7676150242497906,775.201416015625,0.20636931767802683,0.3710923032407407,5,0.26029449110193376,0.11511708224650676,0.08091459297839507
UNet_fewshot_seqcv,XianKeLai1_0000,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/method_masks/UNet_fewshot_seqcv/mask_XianKeLai1_0000.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/05-评测结果/S23_Experiment1_VFM_Benchmark/gt_masks/mask_XianKeLai1_0000.png,0.9229826136870464,0.8725324604115958,0.8970487660670463,0.8836642417941771,0.8133167981219885,183.43690490722656,0.23367426687640064,0.18084165219907408,2,0.37827704869170947,0.017222600063389853,0.013927951388888889
