image_name,weight,quality_score,raw_score,mask_score,geo_score
crop_0091,0.878601,0.696501,0.275718,1.000000,0.750000
crop_0092,0.882356,0.705890,0.302543,1.000000,0.750000
crop_0093,0.884013,0.710033,0.314381,1.000000,0.750000
crop_0094,0.880643,0.701607,0.290306,1.000000,0.750000
crop_0095,0.878888,0.697221,0.277773,1.000000,0.750000
crop_0096,0.876383,0.690956,0.259876,1.000000,0.750000
crop_0097,0.882834,0.707085,0.305956,1.000000,0.750000
crop_0098,0.885409,0.713522,0.324348,1.000000,0.750000
crop_0099,0.890165,0.725413,0.358324,1.000000,0.750000
crop_0100,0.897769,0.744422,0.412633,1.000000,0.750000
crop_0101,0.891831,0.729576,0.370219,1.000000,0.750000
crop_0102,0.811683,0.529207,0.464539,0.545823,0.604989
crop_0103,0.894941,0.737353,0.392437,1.000000,0.750000
crop_0104,0.901606,0.754014,0.440040,1.000000,0.750000
crop_0105,0.836956,0.592390,0.543194,0.666000,0.512861
crop_0106,0.838357,0.595893,0.462570,0.686949,0.624331
crop_0107,0.841424,0.603560,0.459259,0.727321,0.577626
crop_0108,0.869472,0.673679,0.601997,0.813635,0.484222
crop_0109,0.863258,0.658145,0.598735,0.787879,0.470213
crop_0111,0.862071,0.655177,0.571973,0.794535,0.487228
crop_0113,0.885651,0.714126,0.680830,0.848360,0.470369
crop_0114,0.867157,0.667893,0.616226,0.827015,0.400286
crop_0115,0.911995,0.779988,0.766845,0.900954,0.530813
crop_0116,0.902794,0.756985,0.727968,0.878524,0.534304
crop_0117,0.922266,0.805666,0.791013,0.952100,0.501832
crop_0118,0.921661,0.804154,0.737958,0.970942,0.544723
crop_0119,0.884672,0.711680,0.564643,0.915270,0.510920
crop_0120,0.890308,0.725771,0.559852,0.893330,0.639123
crop_0121,0.895609,0.739023,0.656094,0.904352,0.512158
crop_0122,0.890874,0.727184,0.574844,0.919757,0.560493
crop_0123,0.877713,0.694282,0.548903,0.897968,0.490400
crop_0124,0.897937,0.744842,0.413834,1.000000,0.750000
crop_0125,0.900968,0.752420,0.435485,1.000000,0.750000
crop_0126,0.888674,0.721686,0.347675,1.000000,0.750000
crop_0127,0.893384,0.733460,0.381314,1.000000,0.750000
crop_0128,0.892474,0.731185,0.374815,1.000000,0.750000
crop_0129,0.866838,0.667094,0.490778,0.876273,0.504994
crop_0130,0.899740,0.749350,0.426715,1.000000,0.750000
crop_0131,0.870676,0.676690,0.497542,0.875654,0.542529
crop_0132,0.898313,0.745782,0.416520,1.000000,0.750000
crop_0133,0.866632,0.666581,0.465161,0.911464,0.468081
crop_0134,0.874921,0.687302,0.482656,0.893702,0.581034
crop_0135,0.877407,0.693517,0.527219,0.901093,0.517494
