image_stem,source_mask,output_mask,orig_area,clean_area,delta_pixels,components_after
0048,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0048.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0048.png,1906997,1883601,-23396,1
0049,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0049.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0049.png,1879072,1855384,-23688,1
0050,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0050.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0050.png,1911834,1886883,-24951,1
0051,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0051.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0051.png,1962099,1935255,-26844,1
0052,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0052.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0052.png,2017707,1989228,-28479,1
0053,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0053.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0053.png,2068899,2038981,-29918,1
0054,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0054.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0054.png,2123228,2091762,-31466,1
0055,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0055.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0055.png,2051489,2020311,-31178,1
0056,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0056.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0056.png,1986140,1955271,-30869,1
0057,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0057.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0057.png,1973907,1943006,-30901,1
0058,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0058.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0058.png,1920189,1890130,-30059,1
0059,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0059.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0059.png,1862783,1831904,-30879,1
0060,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/02-sam_masks/KongQueZhuYu/mask_0060.png,/data/fj/F2DMAS/00-论文优化重构/数据管理/03-分割Mask/04-fsam3_masks/KongQueZhuYu/最终掩膜/mask_0060.png,1770820,1738291,-32529,1
