图像,选择提示词,选择分数,前景面积比例,恢复细结构像素,A5c接受,A5c原因,A5c修正像素比例,重提示标记,SPNP后端,SPNP接受,SPNP原因,SPNP正框数,SPNP负框数,SPNP细化IoU,几何分数,几何标记
0062.jpg,P2,1.0908406449413062,0.20855022665895062,3,1,ok,0.00019579475308641975,0,sam3_if_supported,1,ok,1,9,0.9923994852757385,0.9777777777777777,ok
0063.jpg,P2,1.1846885514745595,0.20659541377314813,13,1,ok,0.0002623456790123457,0,sam3_if_supported,1,ok,1,9,0.9916897684910975,0.9707317073170731,ok
0064.jpg,P2,1.1780362287040735,0.20323857060185185,8,1,ok,0.00022075135030864197,0,sam3_if_supported,1,ok,1,9,0.9894686458533758,0.9632352941176471,ok
0065.jpg,P2,1.1281905785456319,0.20620406539351852,6,1,ok,0.00015793788580246914,0,sam3_if_supported,1,ok,1,9,0.9910119236390914,0.9314516129032258,ok
0066.jpg,P2,1.1390938117251226,0.19284047067901233,6,1,ok,0.00036651234567901237,0,sam3_if_supported,1,ok,1,9,0.992743520463573,0.9612676056338029,ok
0067.jpg,P2,1.1354167661962509,0.18091399016203705,7,1,ok,0.0003507185570987654,0,sam3_if_supported,1,ok,1,9,0.9922331458329856,0.9628099173553719,ok
0068.jpg,P2,1.3194784649899556,0.17986424575617285,6,1,ok,0.0005099826388888889,0,sam3_if_supported,1,ok,1,9,0.9910195439192028,0.9755011135857461,ok
0069.jpg,P2,0.822216934307666,0.18599066840277778,2,1,ok,0.00012369791666666668,0,sam3_if_supported,1,ok,1,9,0.9916942551877662,0.953757225433526,ok
0070.jpg,P2,0.8400041184292926,0.18580717110339506,13,1,ok,7.824556327160494e-05,0,sam3_if_supported,1,ok,1,9,0.9939479128540983,0.9578947368421052,ok
0071.jpg,P2,0.8239998542071666,0.1883418933256173,7,1,ok,9.162808641975309e-05,0,sam3_if_supported,1,ok,1,9,0.9929898972047951,0.9770773638968482,ok
0072.jpg,P2,1.133226632458417,0.18907636477623457,5,1,ok,0.00016396604938271605,0,sam3_if_supported,1,ok,1,9,0.9927715747440226,0.979539641943734,ok
0073.jpg,P2,0.7980785409312499,0.1757664207175926,4,1,ok,3.8821373456790123e-05,0,sam3_if_supported,1,ok,1,9,0.9895613303560161,0.9736842105263158,ok
0074.jpg,P2,1.0685522276192287,0.16046525366512346,12,1,ok,2.2545331790123457e-05,0,sam3_if_supported,1,ok,1,9,0.9912333827255486,0.9803921568627451,ok
0075.jpg,P2,1.0603529644795358,0.15249602141203702,7,1,ok,0.00013406635802469137,0,sam3_if_supported,1,ok,1,9,0.992280569655995,0.9696969696969697,ok
0076.jpg,P2,1.063527337578373,0.14612196180555556,10,1,ok,0.00014527874228395063,0,sam3_if_supported,1,ok,1,9,0.9918885411095043,0.9840425531914894,ok
0077.jpg,P2,1.0500586664497251,0.14249758873456791,2,1,ok,0.00015444155092592593,0,sam3_if_supported,1,ok,1,9,0.9915100984787939,0.9625,ok
0078.jpg,P2,1.0337069530768903,0.14009247202932099,4,1,ok,9.548611111111112e-05,0,sam3_if_supported,1,ok,1,9,0.9883206121990267,0.9714285714285714,ok
0079.jpg,P2,1.0157910760320839,0.1372190875771605,3,1,ok,0.00011766975308641975,0,sam3_if_supported,1,ok,1,9,0.9913462282534523,0.987987987987988,ok
0080.jpg,P2,0.9589369499538224,0.13172984182098765,4,1,ok,0.00016975308641975308,0,sam3_if_supported,1,ok,1,9,0.9865809760156596,0.9844020797227037,ok
0081.jpg,P2,0.9244096121211893,0.12506618923611112,1,1,ok,0.0002618634259259259,0,sam3_if_supported,1,ok,1,9,0.9907650873935715,0.9834710743801653,ok
0082.jpg,P2,0.9260412592834315,0.12206488715277777,4,1,ok,0.00021255304783950618,0,sam3_if_supported,1,ok,1,9,0.9836517950077769,0.9764150943396226,ok
0083.jpg,P2,0.8879459811392241,0.10626446759259259,6,1,ok,0.0005070891203703704,0,sam3_if_supported,1,ok,1,9,0.9867041954231333,0.9734265734265735,ok
0084.jpg,P2,0.9561134506071514,0.1007177131558642,6,1,ok,0.0005608603395061728,0,sam3_if_supported,1,ok,1,9,0.9845487342023567,0.9731127197518097,ok
0085.jpg,P2,0.978755138410347,0.09853165991512346,3,1,ok,0.0006236738040123457,0,sam3_if_supported,1,ok,1,9,0.9858291219670775,0.9775700934579439,ok
0086.jpg,P2,0.935612360023969,0.09669270833333334,11,1,ok,0.00039303626543209875,0,sam3_if_supported,1,ok,1,9,0.9856244170834455,0.9767857142857143,ok
0087.jpg,P2,0.9478807548577232,0.09777500482253086,5,1,ok,0.0002548707561728395,0,sam3_if_supported,1,ok,1,9,0.9860535038083664,0.9608843537414966,ok
0088.jpg,P2,0.8984545192960556,0.09025426793981481,1,1,ok,0.00010501060956790124,0,sam3_if_supported,1,ok,1,9,0.9806597585779446,0.9785407725321889,ok
0089.jpg,P2,0.8527907318467236,0.1027053192515432,7,1,ok,3.2913773148148146e-05,0,sam3_if_supported,1,ok,1,9,0.9891813009676367,0.9629629629629629,ok
0090.jpg,P1,0.8404372867171379,0.09238305362654321,6,1,ok,4.267939814814815e-05,0,sam3_if_supported,1,ok,1,9,0.9886349865722927,0.8987341772151899,ok
0091.jpg,P1,0.9773405339572974,0.12037024980709876,6,1,ok,0.00016987364969135802,0,sam3_if_supported,1,ok,1,9,0.9841490715111365,0.9912140575079872,ok
0092.jpg,P2,1.0323235651922575,0.21220112364969135,9,1,ok,0.00020640432098765433,0,sam3_if_supported,1,ok,1,9,0.9921148563726633,0.9935064935064936,ok
0093.jpg,P1,1.030441950656002,0.2208423755787037,7,1,ok,0.00015733506944444445,0,sam3_if_supported,1,ok,1,9,0.9799344423502417,0.9506172839506173,ok
0094.jpg,P1,1.0853014999301414,0.21844039351851852,4,1,ok,0.00034215856481481483,0,sam3_if_supported,1,ok,1,9,0.9706339545625912,0.9878883622959452,ok
0095.jpg,P1,1.0778579669507249,0.21233289930555554,16,1,ok,0.0002211130401234568,0,sam3_if_supported,1,ok,1,9,0.9798680186888264,0.9757630161579892,ok
0096.jpg,P1,1.063130303765481,0.21564151716820987,11,1,ok,0.000457055362654321,0,sam3_if_supported,1,ok,1,9,0.9851845502026528,0.978494623655914,ok
0097.jpg,P2,1.1128033874606513,0.23461335358796295,14,1,ok,0.0005814766589506173,0,sam3_if_supported,1,ok,1,9,0.987123939427692,0.9932461873638344,ok
0098.jpg,P2,1.15356781254813,0.2566386959876543,11,1,ok,0.0009203800154320988,0,sam3_if_supported,1,ok,1,9,0.9892806871059786,0.9953942520265291,ok
0099.jpg,P2,1.1722161424744804,0.267055965470679,14,1,ok,0.0008931327160493827,0,sam3_if_supported,1,ok,1,9,0.9916905358769351,0.9844868735083532,ok
0100.jpg,P2,1.138197863627742,0.2659208622685185,14,1,ok,0.0010519145447530863,0,sam3_if_supported,1,ok,1,9,0.992451248498015,0.9884064560127301,ok
0101.jpg,P2,1.153327437964537,0.264975887345679,11,1,ok,0.0011967110339506173,0,sam3_if_supported,1,ok,1,9,0.9918630707154958,0.9924634950541686,ok
0102.jpg,P2,1.169182957844591,0.267940055941358,7,1,ok,0.001458815586419753,0,sam3_if_supported,1,ok,1,9,0.993000930141921,0.9908512947743836,ok
0103.jpg,P2,1.1660926505169171,0.2703566261574074,14,1,ok,0.0012452980324074074,0,sam3_if_supported,1,ok,1,9,0.9936097765545461,0.9920814479638009,ok
